Batch,Gene,sgRNA,AEI,A2CEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
ALPHA,SCRT1,SCRT1_2,0.961325734156,0.0624037712815,0.100069783621,0.0840289593151,0.0621235253122,0.261138476419
ALPHA,SALL2,SALL2_1,0.909946108094,0.0654544639421,0.0982714539615,0.0852643704817,0.0598285521794,0.251179689969
ALPHA,SALL2,SALL2_2,0.912528888454,0.0561623936326,0.0867560166656,0.0794200774642,0.0564903638076,0.243271700871
ALPHA,SCML2,SCML2_2,0.915773836049,0.0605930845518,0.0948112535172,0.0778169022733,0.0569707021562,0.252165448064
ALPHA,SETD9,SETD9_3,0.916587024053,0.061814143722,0.100770086594,0.0836024990724,0.0592194520898,0.254830288029
ALPHA,SALL3,SALL3_1,0.91942839325,0.0627763739735,0.095129846713,0.0821219541996,0.0599336051256,0.255329999432
ALPHA,SERTAD3,SERTAD3_1,0.92135990377,0.0612218572829,0.096719514347,0.0802018522177,0.0569892833194,0.249714938332
ALPHA,SAFB,SAFB_1,0.914661920968,0.0648084324678,0.0903344909626,0.079932247479,0.060087455169,0.246491828575
ALPHA,SAMD1,SAMD1_3,0.904262142247,0.0649767176141,0.100614252451,0.0851685459268,0.0603234146926,0.262243041016
ALPHA,SETD5,SETD5_1,0.977022362022,0.0642955995459,0.0953241185681,0.0820029004681,0.0589560389641,0.263390227616
ALPHA,SETD7,SETD7_2,0.905753279312,0.0628975620601,0.0962484045781,0.0769090648901,0.0579563484547,0.249263837086
