Batch,Gene,Gene Average AEI,Gene Average Z-Score,Gene Number of sgRNAs,observed_stat,p_value,num_permutations,p_value_corrected
ALPHA,PRORP,0.9359871088396666,1.4734252139497948,3,0.016842196707835932,0.05203947960520395,100000.0,0.2099342100448601
ALPHA,PRMT3,0.9212024541706666,0.18000231035017597,3,0.0020575420388359023,0.7675723242767573,100000.0,0.9074327586002324
ALPHA,PRDM6,0.9046886736855,-1.2646916904719456,2,-0.014456238446330705,0.06907936507936507,100000.0,0.24832228811513643
ALPHA,PRKCB,0.9205932458143332,0.12670623690194022,3,0.0014483336825025228,0.8344516554834451,100000.0,0.9431525172988126
ALPHA,PRKAA2,0.886174145653,-2.884419383996252,2,-0.03297076647883068,0.00025396825396825396,100000.0,0.006102215245072388
ALPHA,PSPC1,0.9280549960226666,0.7794910896069513,3,0.00891008389083614,0.1915580844191558,100000.0,0.4592563065597414
ALPHA,PRKAG1,0.9108506797083334,-0.7256138492584528,3,-0.00829423242349725,0.24733752662473374,100000.0,0.5283864210698391
ALPHA,PRKCA,0.9111826591873333,-0.6965709076898586,3,-0.007962252944497372,0.24035759642403576,100000.0,0.5187975168619489
ALPHA,PRMT5,0.977540218219,5.108663546550316,3,0.05839530608716925,1.999980000199998e-05,100000.0,0.0017491825081749185
ALPHA,PRR14,0.8971041885426666,-1.9282139042386868,3,-0.02204072358916409,0.0009599904000959991,100000.0,0.016758634808861493
ALPHA,PROX2,0.9200020199683333,0.07498334803258781,3,0.000857107836502613,0.8956910430895691,100000.0,0.96537651731175
ALPHA,PRKDC,0.9223624987173333,0.2814878180908849,3,0.003217586585502641,0.6494535054649454,100000.0,0.8439786111721411
ALPHA,PRMT2,0.9055377360739999,-1.1904121915957533,3,-0.013607176057830794,0.043039569604303954,100000.0,0.18602280512627944
ALPHA,PROX1,0.910171028411,-0.7850725633179305,3,-0.008973883720830744,0.18305816941830583,100000.0,0.44646590901631417
ALPHA,PRKAG3,0.9127858047863334,-0.5563210823152241,3,-0.006359107345497272,0.36309636903630965,100000.0,0.642192283840559
ALPHA,PSMC3IP,0.9166354304975,-0.21953986039401038,2,-0.0025094816343307347,0.7791746031746032,100000.0,0.9127279773137718
ALPHA,PRM1,0.9243868299553334,0.45858470985605776,3,0.005241917823502695,0.45063549364506356,100000.0,0.7163636760578959
ALPHA,PRKAB1,0.9038251949213333,-1.3402323936773326,3,-0.015319717210497408,0.02113978860211398,100000.0,0.1200575266974603
ALPHA,PRIMPOL,0.894296450974,-2.173846430659827,2,-0.02484846115783068,0.0015238095238095239,100000.0,0.02236113774368808
ALPHA,PRRX1,0.9233690891993334,0.3695485278681681,3,0.004224177067502666,0.5442545574544254,100000.0,0.7782946957973194
ALPHA,PRKAA1,0.9031121507153334,-1.4026124578700496,3,-0.016032761416497343,0.012179878201217988,100000.0,0.08717331127342322
ALPHA,PSIP1,0.914367444819,-0.4179526530687445,2,-0.0047774673128306855,0.5904761904761905,100000.0,0.8096849984999446
ALPHA,PRDM8,0.926944550249,0.6823446882183951,3,0.007799638117169327,0.26639733602663973,100000.0,0.5495073351153281
ALPHA,PRM2,0.9195772009236668,0.037818416246302146,3,0.0004322887918360996,0.950290497095029,100000.0,0.985622454491896
ALPHA,PROP1,0.9064711522883333,-1.1087530702135362,3,-0.01267375984349739,0.06499935000649994,100000.0,0.23922121388171028
ALPHA,PRRX2,0.916761788831,-0.2084855093612289,2,-0.0023831233008306807,0.7921269841269841,100000.0,0.9204645936800895
ALPHA,PRDM5,0.9025608145009999,-1.450845636335684,3,-0.016584097630830574,0.01035989640103599,100000.0,0.07885783631284662
ALPHA,PRDM7,0.8938316313566667,-2.2145107784285964,3,-0.025313280775164038,0.016499835001649983,100000.0,0.10394414161152823
ALPHA,PRMT9,0.9319893769476666,1.123687049121009,3,0.012844464815835899,0.05733942660573394,100000.0,0.22189850667865002
ALPHA,PRMT6,0.8913709622503333,-2.429780316443907,3,-0.027773949881497395,0.00015999840001599985,100000.0,0.006102215245072388
ALPHA,PRDM9,0.9114414731836668,-0.6739287859680969,3,-0.007703438948163943,0.26011739882601176,100000.0,0.5419215745908287
ALPHA,PRKCD,0.9137899815986668,-0.46847153037005923,3,-0.005354930533163937,0.4323156768432316,100000.0,0.7004507057560029
ALPHA,PRKAB2,0.916023312665,-0.2730904668831392,3,-0.00312159946683066,0.6543534564654353,100000.0,0.84717289594422
ALPHA,PSAT1,0.9005134364995,-1.629958754548627,2,-0.018631475632330696,0.015492063492063493,100000.0,0.09984789042121393
ALPHA,PSAP,0.897543777863,-1.889756807483558,2,-0.021601134268830702,0.008380952380952381,100000.0,0.06928148348186156
ALPHA,PRMT1,0.9407875011294999,1.8933834390784625,2,0.021642588997669243,0.004063492063492063,100000.0,0.043340611691831205
ALPHA,HOXD1,0.9037629964113334,-1.3456737772743705,3,-0.015381915720497297,0.02071979280207198,100000.0,0.11875184000453573
ALPHA,HOXA7,0.9038233792389999,-1.3403912370976305,3,-0.01532153289283078,0.016779832201677985,100000.0,0.1049759745607122
ALPHA,HSF5,0.9218853003766666,0.239740528269351,3,0.002740388244835912,0.6873331266687334,100000.0,0.8654009328627024
ALPHA,IDH2,0.9187924736546665,-0.030832779573107465,3,-0.000352438477164152,0.961490385096149,100000.0,0.9901324512010974
ALPHA,HSFX4,0.9027350554006667,-1.4356023198417782,3,-0.01640985673116402,0.015799842001579984,100000.0,0.10086526871957557
ALPHA,ID4,0.9177775704159999,-0.11962072377726167,3,-0.00136734171583075,0.8427315726842731,100000.0,0.9450609481595914
ALPHA,HSPBAP1,0.925980937984,0.5980438910984012,2,0.006836025852169358,0.4226031746031746,100000.0,0.6920215999025211
ALPHA,INO80B,0.934269639545,1.3231738775686563,3,0.015124727413169281,0.024119758802411975,100000.0,0.12949748955549117
ALPHA,IMPDH2,0.898858513552,-1.7747382770948854,2,-0.020286398579830722,0.007873015873015874,100000.0,0.06652888582163945
ALPHA,INO80C,0.9280961577363334,0.7830920870194557,3,0.008951245604502667,0.1905180948190518,100000.0,0.4577668289251173
ALPHA,HSF4,0.9187077288065,-0.03824661033444121,2,-0.00043718332533071447,0.9594920634920635,100000.0,0.9899395525895468
ALPHA,IFIH1,0.898283920818,-1.8250060323476234,2,-0.02086099131383068,0.005841269841269842,100000.0,0.05434866599121919
ALPHA,ING4,0.9216053163343334,0.2152463631296245,3,0.0024604042025027084,0.7203527964720353,100000.0,0.8812833237979927
ALPHA,HSF1,0.9197459327533334,0.052579776450046994,3,0.0006010206215026903,0.9275907240927591,100000.0,0.9769690722498096
