LTB4R,INTS8
LTF,NAPA
LTO1,VIRMA
LTV1,CWC15
LUC7L3,OIP5
LYRM4,ACTR6
LYSMD1,ZNF574
MAD2L1,PPM1G
MAD2L1BP,ZNF830
MAD2L2,CHTF8
MAGOH,KMT5A
MAK16,PPP1R15B
MALL,NUP107
MAP4K5,GTF2H3
MARCHF9,POLR1C
MARS1,PPP4R1
MARS2,ZNF335
MASTL,CPTP
MAT2A,MRPS5
MAX,CEP152
MBTD1,COPS4
MCL1,SUPT5H
MCM10,POLR2J
MCM2,CETN2
MCM3,COPS5
MCM3AP,WDR46
MCM4,DLD
MCM5,MAX
MCM6,EMG1
MCM7,TIPIN
MCMBP,PLK4
MCRS1,RBM27
MDM2,TARS1
MDN1,ATP5MG
MEAF6,RRP7A
MED10,ASCC3
MED11,NARS1
MED14,NAA10
MED17,ATP5MJ
MED18,PSMD6
MED20,CNOT1
MED21,DHX33
MED22,AUNIP
MED26,DNTTIP2
MED27,GLUL
MED28,FAM210A
MED29,MRPS7
MED30,RPP40
MED31,RO60
MED4,CDK7
MED6,CWC25
MED7,NARS2
MED8,DCPS
MED9,XRN1
MEPCE,DDX39B
METAP1,POLR1H
METAP2,IARS2
METTL14,POLR3B
METTL15,MYC
METTL16,DHX37
METTL17,RPS4X
METTL3,FANCA
MFAP1,RPL19
MFN2,CDC40
MILR1,RNF168
MINDY4B,ISY1
MIS12,TAF1A
MIS18A,TMEM234
MIS18BP1,DHRS1
MMS19,SDE2
MMS22L,YAP1
MNAT1,EP400
MOB4,CEP97
MOCS3,BRCA2
MPHOSPH10,CENPX
MRGBP,SMN2
MRPL10,NACA
MRPL17,PSMB4
MRPL21,CCNH
MRPL24,PSMG4
MRPL27,RBM33
MRPL32,ATF5
MRPL34,ATP5PB
MRPL35,ARPC4
MRPL36,PSMD14
MRPL38,SNW1
MRPL4,PSMB5
MRPL41,CENPF
MRPL43,NFYA
MRPL45,ARPC3
MRPL49,CENPK
MRPL51,MED8
MRPL53,UTP4
MRPL55,PRPF31
MRPL57,MASTL
MRPL58,ABT1
MRPL9,POLR3H
MRPS10,DPH3
MRPS11,TECR
MRPS12,PSMB1
MRPS14,MITD1
MRPS15,CDCA3
MRPS16,TCERG1
MRPS18A,ARMCX5-GPRASP2
